,city_id,city_name,cloudiness_pct,country_cd,date,humidity,city_lat,city_lng,max_temp,wind_speed,date_time
138,3421765,Nanortalik,48,GL,1621361537,70,60.1432,-45.2371,38.21,2.89,2021-05-18 18:12:17
139,5367788,Lompoc,1,US,1621361537,68,34.6391,-120.4579,81.21,17.27,2021-05-18 18:12:17
140,2015913,Suntar,30,RU,1621361531,61,62.1444,117.6319,24.58,4.03,2021-05-18 18:12:11
141,1507116,Dudinka,15,RU,1621361537,95,69.4058,86.1778,11.5,10.04,2021-05-18 18:12:17
142,5295143,Fortuna Foothills,1,US,1621361538,27,32.6578,-114.4119,89.22,1.99,2021-05-18 18:12:18
143,5546220,Saint George,1,US,1621361428,24,37.1041,-113.5841,87.35,1.01,2021-05-18 18:10:28
144,3424607,Tasiilaq,2,GL,1621361538,66,65.6145,-37.6368,26.76,2.19,2021-05-18 18:12:18
145,1264976,Leh,60,IN,1621361539,41,34.1667,77.5833,46.76,4.7,2021-05-18 18:12:19
146,2068655,Katherine,84,AU,1621361539,74,-14.4667,132.2667,59.32,6.71,2021-05-18 18:12:19
147,2036033,Liuhe,12,CN,1621361539,69,42.2401,125.7172,52.77,7.85,2021-05-18 18:12:19
148,2897132,Husum,7,DE,1621361540,78,54.4858,9.0524,55.2,7.52,2021-05-18 18:12:20
149,6355222,Yulara,100,AU,1621361540,30,-25.2406,130.9889,52.59,9.44,2021-05-18 18:12:20
150,4031574,Provideniya,87,RU,1621361541,78,64.3833,-173.3,32.83,3.42,2021-05-18 18:12:21
151,1735106,George Town,20,MY,1621361242,80,5.4112,100.3354,83.89,1.63,2021-05-18 18:07:22
152,2014624,Udachny,100,RU,1621361541,97,66.4167,112.4,28.62,8.9,2021-05-18 18:12:21
153,2121198,Sinegorsk,0,RU,1621361542,73,47.1667,142.5,44.35,6.04,2021-05-18 18:12:22
154,2236967,Soyo,72,AO,1621361542,80,-6.1349,12.3689,80.35,6.87,2021-05-18 18:12:22
155,5955902,Fort Nelson,20,CA,1621361542,42,58.8053,-122.7002,44.19,5.75,2021-05-18 18:12:22
156,6453319,Harstad,71,NO,1621361543,84,68.799,16.5293,52.83,21.0,2021-05-18 18:12:23
157,2610343,Vestmanna,90,FO,1621361543,68,62.1564,-7.1664,38.32,18.95,2021-05-18 18:12:23
158,2074865,Carnarvon,40,AU,1621361543,82,-24.8667,113.6333,62.67,6.91,2021-05-18 18:12:23
159,150689,Poli,93,TZ,1621361544,81,-3.3333,36.8,60.82,5.5,2021-05-18 18:12:24
160,462357,Znamenka,3,RU,1621361544,65,52.4167,41.4311,67.62,13.38,2021-05-18 18:12:24
161,4726521,San Patricio,93,US,1621361545,71,28.017,-97.5169,88.21,20.02,2021-05-18 18:12:25
162,6324729,Halifax,90,CA,1621361522,53,44.6453,-63.5724,67.41,1.99,2021-05-18 18:12:02
